OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-UT,USGS Utah Water Science Center,USGS-400450111473401,(D- 8- 1)35bdd- 1,Well,,16020202,,,,,40.0805093,-111.7935437,,1,minutes,Interpolated from MAP.,NAD83,4580,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19440101,300,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400451111370201,(D- 8- 3)32add- 1,Well,,16020202,,,,,40.0807888,-111.6179759,24000,1,seconds,Interpolated from MAP.,NAD83,4660,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400453112061701,(C- 8- 2)31adb- 1,Well,,16020201,,,,,40.0813386,-112.1054998,,5,seconds,Interpolated from MAP.,NAD83,5016,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,365,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400454111345801,(D- 8- 3)34aca- 1,Well,,16020202,,,,,40.0816224,-111.5835287,24000,1,seconds,Interpolated from MAP.,NAD83,4844,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Confined single aquifer,19400320,261,ft,261,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400454111361501,(D- 8- 3)33acb- 1,Well,,16020202,,,,,40.0816222,-111.6049193,,1,minutes,Interpolated from MAP.,NAD83,4664,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19100101,50,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400455111360700,(D- 8- 3)33aca- 1,Well,,16020202,,,,,40.0819,-111.6026969,,5,seconds,Interpolated from MAP.,NAD83,4678,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19710101,328,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400456111434000,(D- 8- 2)33bbd- 1,Well,,16020202,,,,,40.0821766,-111.72854,,5,seconds,Interpolated from MAP.,NAD83,4522,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19710101,231,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400456111471501,(D- 8- 1)35aad- 2,Well,,16020202,,,,,40.082176,-111.7882656,24000,10,seconds,Interpolated from MAP.,NAD83,4515,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19731004,376,ft,416,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400458111404301,(D- 8- 2)35abc- 3,Well,,16020202,,,,,40.0827326,-111.6793695,,1,minutes,Interpolated from MAP.,NAD83,4535,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19580101,162,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400458112061701,(C- 8- 2)31aac- 1,Well,,16020201,,,,,40.0827222,-112.1057222,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5010,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,365,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400459111211101,SIXTH WATER CR NO 4,Stream,,16020202,,,,,40.0830121,-111.3537908,24000,1,seconds,Interpolated from MAP.,NAD83,5550,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400459111392701,(D- 8- 2)36aac- 1,Well,,16020202,,,,,40.0830106,-111.6582568,24000,10,seconds,Interpolated from MAP.,NAD83,4645,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19770519,230,ft,230,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400500111360001,SPANISH FORK PWR HOUSE UTAH,Atmosphere,,16020202,,,,,40.0832889,-111.6007523,,5,seconds,Interpolated from MAP.,NAD83,4720,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400500111373001,(D- 8- 3)32abd- 1,Well,,16020202,,,,,40.0832887,-111.6257542,,1,minutes,Interpolated from MAP.,NAD83,4720,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19350101,260,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400500111373101,(D- 8- 3)32abd- 2,Well,,16020202,,,,,40.0832887,-111.626032,,1,minutes,Interpolated from MAP.,NAD83,4720,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19620101,269,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400500111381201,(D- 8- 3)32bdd- 1,Well,,16020202,,,,,40.0832886,-111.6374218,,1,minutes,Interpolated from MAP.,NAD83,4630,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19340101,28,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400500111383001,(D- 8- 3)31ada- 1,Well,,16020202,,,,,40.0832885,-111.6424222,,1,minutes,Interpolated from MAP.,NAD83,4616,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19460101,225,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400500111440601,(D- 8- 2)32aad- 1,Well,,16020202,,,,,40.0832876,-111.7315959,,1,minutes,Interpolated from MAP.,NAD83,4520,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19340101,117,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400500111472401,(D- 8- 1)35aad- 1,Well,,16020202,,,,,40.083287,-111.7907657,,1,minutes,Interpolated from MAP.,NAD83,4515,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19270101,140,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400500111583501,(C- 8- 1)32bbb- 1,Well,,16020201,,,,,40.0833333,-111.9763889,,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4680,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,250,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400509111433701,(D- 8- 2)28ccd- 1,Well,,16020202,,,,,40.0857877,-111.7277066,24000,10,seconds,Interpolated from MAP.,NAD83,4523,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19750702,291,ft,291,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400509111434401,(D- 8- 2)28ccc- 1,Well,,16020202,,,,,40.0857876,-111.7296512,24000,5,seconds,Interpolated from MAP.,NAD83,4525,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19230101,276,ft,276,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111352201,(D- 8- 3)34bab- 1,Well,,16020202,,,,,40.0860668,-111.5901959,24000,1,seconds,Interpolated from MAP.,NAD83,4797,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,,,470,ft,470,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111354100,(D- 8- 3)34bbb- 1,Well,,16020202,,,,,40.0860668,-111.595474,24000,1,seconds,Interpolated from MAP.,NAD83,4720,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Confined single aquifer,19730416,151,ft,151,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111374801,(D- 8- 3)32baa- 1,Well,,16020202,,,,,40.0860664,-111.6307546,,1,minutes,Interpolated from MAP.,NAD83,4720,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19600101,276,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111380001,(D- 8- 3)32bba- 1,Well,,16020202,,,,,40.0860664,-111.6340882,,1,minutes,Interpolated from MAP.,NAD83,4630,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19530101,275,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111403601,(D- 8- 2)36bbb- 1,Well,,16020202,,,,,40.0860659,-111.6774249,,1,minutes,Interpolated from MAP.,NAD83,4540,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19540101,15,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111434201,(D- 8- 2)28cdc- 3,Well,,16020202,,,,,40.0860654,-111.7290956,,1,minutes,Interpolated from MAP.,NAD83,4527,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19400101,240,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111440001,(D- 8- 2)33bbb- 1,Well,,16020202,,,,,40.0843988,-111.729929,24000,1,minutes,Interpolated from MAP.,NAD83,4520,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Confined single aquifer,19651223,220,ft,220,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111441201,(D- 8- 2)29aaa- 1,Well,,16020202,,,,,40.0860653,-111.7374296,,1,minutes,Interpolated from MAP.,NAD83,4529,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19680708,426,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111441202,(D- 8- 2)29aab- 4,Well,,16020202,,,,,40.097732,-111.7352071,,1,minutes,Interpolated from MAP.,NAD83,4529,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19440101,176,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111441203,(D- 8- 2)29ddd- 1,Well,,16020202,,,,,40.0860653,-111.7374296,,1,minutes,Interpolated from MAP.,NAD83,4521,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19390101,171,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111441301,(D- 8- 2)29aaa- 8,Well,,16020202,,,,,40.0860653,-111.7377074,,1,minutes,Interpolated from MAP.,NAD83,4530,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19440906,175,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111442401,(D- 8- 2)32aab- 1,Well,,16020202,,,,,40.0860653,-111.7407632,,1,minutes,Interpolated from MAP.,NAD83,4516.8,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19340101,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111445301,(D- 8- 2)29ccc- 2,Well,,16020202,,,,,40.0860652,-111.7488194,,5,seconds,Interpolated from MAP.,NAD83,4505,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400510111450001,(D- 8- 2)30ddd- 1,Well,,16020202,,,,,40.0860652,-111.750764,24000,10,seconds,Interpolated from MAP.,NAD83,4510,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19760630,168,ft,170,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400511111382801,(D- 8- 3)29ddc- 1,Well,,16020202,,,,,40.0863441,-111.6418666,24000,10,seconds,Interpolated from MAP.,NAD83,4730,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19771029,268,ft,275,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400512111352301,(D- 8- 3)27cdc- 1,Well,,16020202,,,,,40.0882891,-111.5907515,24000,5,seconds,Interpolated from MAP.,NAD83,4780,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Confined multiple aquifers,19630118,630,ft,640,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400512111391801,(D- 8- 2)25ddd- 1,Well,,16020202,,,,,40.0866217,-111.6557566,24000,10,seconds,Interpolated from MAP.,NAD83,4605,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19751109,181,ft,181,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400513111380601,(D- 8- 3)30ddd- 1,Well,,16020202,,,,,40.0868997,-111.635755,24000,10,seconds,Interpolated from MAP.,NAD83,4700,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19750324,270,ft,270,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400513111572801,(C- 8- 1)29dda- 1,Well,,16020201,,,,,40.0868964,-111.9591063,24000,1,seconds,Interpolated from MAP.,NAD83,4595,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Confined multiple aquifers,19731017,625,ft,690,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400514111433900,(D- 8- 2)28cca- 1,Well,,16020202,,,,,40.0871765,-111.7282622,,5,seconds,Interpolated from MAP.,NAD83,4525,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19710101,325,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400514111435200,(D- 8- 2)29ddd- 2,Well,,16020202,,,,,40.0871765,-111.7318736,,5,seconds,Interpolated from MAP.,NAD83,4526,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,293,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400514111435300,(D- 8- 2)20dca- 1,Well,,16020202,,,,,40.0871765,-111.7321514,,5,seconds,Interpolated from MAP.,NAD83,4515,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19740101,165,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400517111380901,(D- 8- 3)30dda-S1,Spring,,16020202,,,,,40.0880108,-111.6365884,,1,seconds,Interpolated from MAP.,NAD83,4680,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400517111431700,(D- 8- 2)28ccb- 1,Well,,16020202,,,,,40.0880099,-111.7221506,,5,seconds,Interpolated from MAP.,NAD83,4523,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19730101,147,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400517111441101,(D- 8- 2)29dca- 1,Well,,16020202,,,,,40.0880098,-111.7371518,24000,10,seconds,Interpolated from MAP.,NAD83,4518,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19770519,205,ft,205,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400517111595400,(C- 8- 2)25dac- 1,Well,,16020201,,,,,40.0866182,-111.9999413,24000,1,seconds,Interpolated from MAP.,NAD83,4770,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Unconfined single aquifer,19720101,600,ft,600,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400518111421201,(D- 8- 2)27cda- 1,Well,,16020202,,,,,40.0882879,-111.7040937,24000,10,seconds,Interpolated from MAP.,NAD83,4539,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19750803,166,ft,176,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400520111343701,(D- 8- 3)26ccb- 1,Well,,16020202,,,,,40.0888447,-111.5776949,24000,5,seconds,Interpolated from MAP.,NAD83,5000,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Unconfined single aquifer,19400502,399.5,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400520111394201,(D- 8- 2)25ddb- 2,Well,,16020202,,,,,40.0888439,-111.6624237,,1,minutes,Interpolated from MAP.,NAD83,4632,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19590101,233,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400520111401801,(D- 8- 2)25cac- 1,Well,,16020202,,,,,40.0888438,-111.6724245,,1,minutes,Interpolated from MAP.,NAD83,4565,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,18860101,152,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400520111430001,(D- 8- 2)28ddd- 1,Well,,16020202,,,,,40.0888433,-111.717428,,1,minutes,Interpolated from MAP.,NAD83,4532,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19390101,242,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400520111434801,(D- 8- 2)28cca- 2,Well,,16020202,,,,,40.100232,-111.7285399,,1,minutes,Interpolated from MAP.,NAD83,4525,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19510101,200,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400520111441201,(D- 8- 2)29dda- 3,Well,,16020202,,,,,40.0888431,-111.7374296,,1,minutes,Interpolated from MAP.,NAD83,4522,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19640101,173,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400520111442401,(D- 8- 2)29ddb- 1,Well,,16020202,,,,,40.0888431,-111.7407632,,1,minutes,Interpolated from MAP.,NAD83,4520,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19500101,198,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400520111471201,(D- 8- 1)25ccb- 1,Well,,16020202,,,,,40.0888426,-111.7874322,,1,minutes,Interpolated from MAP.,NAD83,4510,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19170101,75,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400520111581801,(C- 8- 1)29bdc- 1,Well,,16020201,,,,,40.0888407,-111.9724401,,1,minutes,Interpolated from MAP.,NAD83,4635,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19670325,500,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400521111342801,(D- 8- 3)26cca- 1,Well,,16020202,,,,,40.0891225,-111.5751947,24000,1,seconds,Interpolated from MAP.,NAD83,5000.7,feet,1,feet,Level or other surveyed method.,NGVD29,US,49,49,,Valley Fill,,1989,35,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400521111471800,(D- 8- 1)26dad- 1,Well,,16020202,,,,,40.0891203,-111.7890989,,5,seconds,Interpolated from MAP.,NAD83,4505,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19730101,300,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400522111434001,(D- 8- 2)28cbd- 3,Well,,16020202,,,,,40.0893987,-111.72854,24000,1,seconds,Interpolated from MAP.,NAD83,4525,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Confined single aquifer,19441026,92,ft,92,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400524111343201,(D- 8- 3)26cca- 2,Well,,16020202,,,,,40.0899559,-111.5763059,24000,1,seconds,Interpolated from MAP.,NAD83,4983.9,feet,1,feet,Level or other surveyed method.,NGVD29,US,49,49,,Valley Fill,,1989,35,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400526111343101,(D- 8- 3)26cbd- 2,Well,,16020202,,,,,40.0905114,-111.576028,24000,1,seconds,Interpolated from MAP.,NAD83,4991.1,feet,1,feet,Level or other surveyed method.,NGVD29,US,49,49,,Valley Fill,,1989,43,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400526111343501,(D- 8- 3)26cbd- 1,Well,,16020202,,,,,40.0905114,-111.5771393,24000,1,seconds,Interpolated from MAP.,NAD83,5012.6,feet,1,feet,Level or other surveyed method.,NGVD29,US,49,49,,Valley Fill,,1989,302,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400527111385700,(D- 8- 2)25daa- 2,Well,,16020202,,,,,40.0907884,-111.6499227,,5,seconds,Interpolated from MAP.,NAD83,4590,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19250101,216,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400527111392401,(D- 8- 2)25dac- 3,Well,,16020202,,,,,40.0907884,-111.6574233,24000,1,seconds,Interpolated from MAP.,NAD83,4622,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,Basin and Range basin-fill aquifers,Valley Fill,Confined multiple aquifers,19610608,620,ft,620,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400527111393501,(D- 8- 2)25dbd- 2,Well,,16020202,,,,,40.0907883,-111.6604791,,5,seconds,Interpolated from MAP.,NAD83,4640,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,1961,222,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400527111400601,(D- 8- 2)25cbd- 1,Well,,16020202,,,,,40.0907882,-111.6690909,24000,10,seconds,Interpolated from MAP.,NAD83,4585,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19770101,199,ft,199,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400527111421101,(D- 8- 2)27cbd- 1,Well,,16020202,,,,,40.0907879,-111.7038158,24000,5,seconds,Interpolated from MAP.,NAD83,4540,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19780414,285,ft,285,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400527111434600,(D- 8- 2)28cbc- 1,Well,,16020202,,,,,40.0907876,-111.7302068,,5,seconds,Interpolated from MAP.,NAD83,4525,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19730101,147,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400528111392401,(D- 8- 2)25dab- 2,Well,,16020202,,,,,40.0910661,-111.6574233,,5,seconds,Interpolated from MAP.,NAD83,4625,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,1936,401,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400528111434700,(D- 8- 2)28cbb- 1,Well,,16020202,,,,,40.0910654,-111.7304846,,5,seconds,Interpolated from MAP.,NAD83,4526,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19720101,358,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400529111400701,(D- 8- 2)25cba- 1,Well,,16020202,,,,,40.0913438,-111.6693687,24000,10,seconds,Interpolated from MAP.,NAD83,4695,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19770528,189,ft,195,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400530111383001,(D- 8- 3)30daa- 1,Well,,16020202,,,,,40.0916219,-111.6368662,,1,minutes,Interpolated from MAP.,NAD83,4710,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19520101,43,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400530111400601,(D- 8- 2)25caa- 2,Well,,16020202,,,,,40.0916216,-111.6690909,,1,minutes,Interpolated from MAP.,NAD83,4650,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19470101,310,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400530111411801,(D- 8- 2)26cac- 1,Well,,16020202,,,,,40.0916214,-111.6890925,,1,minutes,Interpolated from MAP.,NAD83,4546,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19100101,357,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400530111430001,(D- 8- 2)28daa- 1,Well,,16020202,,,,,40.0918989,-111.7135388,24000,1,seconds,Interpolated from MAP.,NAD83,4535,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Confined single aquifer,19390619,120,ft,120,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400530111444201,(D- 8- 2)29cab- 1,Well,,16020202,,,,,40.0921763,-111.745208,24000,1,seconds,Interpolated from MAP.,NAD83,4513,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Confined single aquifer,19470711,168,ft,168,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400530111450001,(D- 8- 2)30daa- 1,Well,,16020202,,,,,40.0916207,-111.750764,,1,seconds,Interpolated from MAP.,NAD83,4508,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Pleistocene Series,,19520101,182,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400530111471801,(D- 8- 1)25cbb- 1,Well,,16020202,,,,,40.0916203,-111.78771,,1,minutes,Interpolated from MAP.,NAD83,4504,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19640721,300,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400530111475201,(D- 8- 1)26bdd- 1,Well,,16020202,,,,,40.0932869,-111.7985437,24000,10,seconds,Interpolated from MAP.,NAD83,4620,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19770909,126,ft,126,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400532111350801,(D- 8- 3)27dbb- 1,Well,,16020202,,,,,40.092178,-111.5863067,24000,10,seconds,Interpolated from MAP.,NAD83,4778,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19770309,220,ft,220,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400532111385901,(D- 8- 3)30cba- 1,Well,,16020202,,,,,40.0921773,-111.6504783,24000,10,seconds,Interpolated from MAP.,NAD83,4595,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19770223,180,ft,180,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400535111382600,(D- 8- 3)30dba- 1,Well,,16020202,,,,,40.0930108,-111.6413109,24000,5,seconds,Interpolated from MAP.,NAD83,4711,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,,19700101,285,ft,285,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400535111384700,(D- 8- 3)30caa- 1,Well,,16020202,,,,,40.0930107,-111.6471447,,5,seconds,Interpolated from MAP.,NAD83,4599,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19720101,169,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400535111415301,(D- 8- 2)27acd- 1,Well,,16020202,,,,,40.0924546,-111.6982598,,1,minutes,Interpolated from MAP.,NAD83,4546,feet,1,feet,Interpolated from topographic map.,NGVD29,US,49,49,,,,19480101,180,ft,,,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400536111403101,(D- 8- 2)26adc- 1,Well,,16020202,,,,,40.0932882,-111.6760359,24000,1,seconds,Interpolated from MAP.,NAD83,4550,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,Confined single aquifer,19711104,,,290,ft,NWIS
USGS-UT,USGS Utah Water Science Center,USGS-400536111435201,(D- 8- 2)29add- 1,Well,,16020202,,,,,40.0932876,-111.7318736,24000,5,seconds,Interpolated from MAP.,NAD83,4526,feet,20,feet,Interpolated from topographic map.,NGVD29,US,49,49,,Valley Fill,,19351001,222,ft,222,ft,NWIS
